cardname,cardq,cardrarity,card_edition,cardset,cardcode,cardid,print_id,description,cardtype,type,monstertype,attribute,atk,def,level,pscales,lcount,larrows
Magician's Valkyria ,0,Super Rare,Unlimited,Legacy Pack,,80304126,,"Monsters your opponent controls cannot target face-up Spellcaster monsters for attacks, except this one.",Monster,Effect,Spellcaster,LIGHT,1600,1800,4,,,
Magicians' Combination ,0,Common,Unlimited,Darkest Magics; Master Pack,,86509711,,"Once per turn, when a card or effect is activated (except during the Damage Step): You can Tribute 1 ""Dark Magician"" or 1 ""Dark Magician Girl""; Special Summon 1 ""Dark Magician"" or 1 ""Dark Magician Girl"" from your hand or GY, with a different name from the Tributed monster, and if you do, negate that activated effect. If this face-up card is sent from the Spell & Trap Zone to the GY: You can destroy 1 card on the field.",Trap,Continuous,,,,,,,,
Magicians' Defense ,0,Rare,Unlimited,Master Pack; Shining Sarcophagus of Destiny,,89448140,,"While you control a Spellcaster-Type monster, any damage you take is halved. (You cannot halve the same damage twice this way.) If this card is sent from the field to the Graveyard: You can target 1 Spellcaster-Type monster in your Graveyard; Special Summon it.",Trap,Continuous,,,,,,,,
Magicians' Souls ,0,Ultra Rare,Unlimited,Darkest Magics; Master Pack,,97631303,,"You can send up to 2 Spells/Traps from your hand and/or field to the GY; draw that many cards. If this card is in your hand: You can send 1 Level 6 or higher Spellcaster monster from your Deck to the GY, then activate 1 of these effects;
●Special Summon this card.
●Send this card to the GY, then, you can Special Summon 1 ""Dark Magician"" or 1 ""Dark Magician Girl"" from your GY.
You can only use each effect of ""Magicians' Souls"" once per turn.",Monster,Effect,Spellcaster,DARK,0,0,1,,,
Magicians of Bonds and Unity ,0,Ultra Rare,Unlimited,,,15845914,,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by having 25 or more cards in your GY. While your opponent has 25 or more cards in their GY, this card gains 2500 ATK/DEF.",Monster,Effect,Spellcaster,LIGHT,2500,2500,8,,,
Magicians Unite ,0,Common,Unlimited,Legacy Pack,,36045450,,"If you control 2 or more Attack Position Spellcaster monsters: Target 1 of them; its ATK becomes 3000 until the end of this turn, also for the rest of this turn after this card resolves, other Spellcaster monsters you control cannot attack.",Spell,Normal,,,,,,,,
Magician Navigation ,0,Rare,Unlimited,Darkest Magics; Master Pack,,07922915,,"Special Summon 1 ""Dark Magician"" from your hand, then Special Summon 1 Level 7 or lower DARK Spellcaster monster from your Deck. If you control ""Dark Magician"", except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 face-up Spell/Trap your opponent controls; negate its effects until the end of this turn.",Trap,Normal,,,,,,,,
Magician of Black Chaos ,0,Common,Unlimited,Darkest Magics; Master Pack; The Masters Saga,,30208479,,"You can Ritual Summon this card with ""Black Magic Ritual"".",Monster,Ritual,Spellcaster,DARK,2800,2600,8,,,
Magician of Chaos ,0,Common,Unlimited,Darkest Magics; Master Pack; The Masters Saga,,47963370,,"You can Ritual Summon this card with ""Chaos Form"". This card's name becomes ""Dark Magician"" while on the field or in the GY. Once per turn, when a Spell/Trap Card or effect is activated (Quick Effect): You can target 1 card on the field; destroy it. If this Ritual Summoned card is destroyed by battle or card effect: You can Special Summon 1 ""Chaos"" or ""Black Luster Soldier"" Ritual Monster from your hand, except ""Magician of Chaos"", ignoring its Summoning conditions.",Monster,Ritual;Effect,Spellcaster,DARK,2500,2100,7,,,
Magician of Dark Illusion ,0,Common,Unlimited,Darkest Magics; Master Pack,,35191415,,"This card's name becomes ""Dark Magician"" while on the field. You can only use each of these effects of ""Magician of Dark Illusion"" once per turn.
●During your opponent's turn, if you activate a Spell/Trap Card or effect (except during the Damage Step): You can Special Summon this card from your hand.
●If you activate a Spell/Trap Card or effect while this card is face-up on your field (except during the Damage Step): You can target 1 ""Dark Magician"" in your GY; Special Summon it. This effect can only be used once while this card is face-up on the field.",Monster,Effect,Spellcaster,DARK,2100,2500,7,,,
Magician of Faithfulness ,0,Super Rare,Unlimited,Legacy Pack,,67853262,,"FLIP: You can target 1 Spell in your GY; add it to your hand, then you can Special Summon 1 ""Magician of Faith"" or ""Magician of Faithfulness"" from your Deck in face-down Defense Position. You can only use this effect of ""Magician of Faithfulness"" once per turn.",Monster,Flip;Effect,Spellcaster,LIGHT,600,800,5,,,
Magician of Faith ,0,Rare,Unlimited,Legacy Pack,,31560081,,FLIP: Target 1 Spell in your GY; add that target to your hand.,Monster,Flip;Effect,Spellcaster,LIGHT,300,400,1,,,
Magician of Hope ,0,Rare,Unlimited,Counterswing Mages; Lord of Dimensions; Master Pack,,67865534,,"Pendulum Effect
Once per turn, when a monster declares an attack: You can negate that attack, then destroy this card.
Monster Effect
2 Level 4 monsters
If you can Pendulum Summon Level 4, you can Pendulum Summon this face-up card in your Extra Deck. You can detach 1 material from this card; Special Summon 1 Level 7 or lower Pendulum Monster from your hand in Defense Position, but negate its effects, then you can place this face-up card in your Pendulum Zone. You can only use this effect of ""Magician of Hope"" once per turn. If this card is Pendulum Summoned: You can target 1 Pendulum Monster in your GY; attach it to this card as material.",Monster,Xyz;Pendulum;Effect,Spellcaster,LIGHT,2500,2000,4,8,,
Magicolloidal Sol ,0,Rare,Unlimited,Chaotic Showtime; Master Pack; Synchro Starlight,,67694706,,"If a monster(s) is Special Summoned by your Trap effect (except during the Damage Step): You can Special Summon this card from your hand or GY, but if you Summon it from the GY, banish it when it leaves the field. During your opponent's Battle Phase (Quick Effect): You can activate 1 of these effects;
●Immediately after this effect resolves, Synchro Summon using this card you control.
●Immediately after this effect resolves, Xyz Summon using this card you control.
You can only use each effect of ""Magicolloidal Sol"" once per turn.",Monster,Tuner;Effect,Aqua,WATER,400,300,2,,,
Magicore Warrior of the Relics ,0,Rare,Unlimited,Guided by Fate; Master Pack; Victory in Progress; Wandering Travelers,,66078354,,"Cannot attack unless you control an ""Adventurer Token"". You can only use each of the following effects of ""Magicore Warrior of the Relics"" once per turn. If you control an ""Adventurer Token"": You can Special Summon this card from your hand. At the end of the Battle Phase, if your monster that mentions ""Adventurer Token"" battled: You can Set 1 Trap that mentions ""Adventurer Token"" directly from your Deck.",Monster,Effect,Warrior,FIRE,2300,1000,4,,,
Magic Cylinder ,0,Super Rare,Unlimited,Master Pack; Shot Through Fiction; Valiant Wings,,62279055,,"When an opponent's monster declares an attack: Target the attacking monster; negate the attack, and if you do, inflict damage to your opponent equal to its ATK.",Trap,Normal,,,,,,,,
Magic Deflector ,0,Super Rare,Unlimited,Master Pack,,96474800,,"For the rest of this turn, negate all Equip, Field, Continuous and Quick-Play Spell Card effects on the field.",Trap,Normal,,,,,,,,
Magic Drain ,0,Rare,Unlimited,Master Pack,,59344077,,"When your opponent activates a Spell Card: They can discard 1 Spell to negate this card's effect, otherwise negate the activation of their Spell Card, and if you do, destroy it.",Trap,Counter,,,,,,,,
Magic Formula ,0,Rare,Unlimited,Legacy Pack,,67227834,,"Equip only to ""Dark Magician"" or ""Dark Magician Girl"". It gains 700 ATK. If this card is sent from the field to the GY: Gain 1000 LP.",Spell,Equip,,,,,,,,
Magic Gate of Miracles ,0,Rare,Unlimited,Legacy Pack,,49941059,,"If you control 2 or more Spellcaster monsters: Change 1 Attack Position monster your opponent controls to Defense Position, then take control of it, and if you do, it cannot be destroyed by battle.",Spell,Normal,,,,,,,,
Magic Hand ,0,Common,Unlimited,Master Pack; Sword of the Seventh One,,22530212,,"When your opponent adds a card(s) from their Deck to their hand, except by drawing them (except during the Damage Step): You can send that card(s) to the GY, and if you do, inflict 800 damage to your opponent. This effect can only be used once while this card is face-up on the field.",Monster,Effect,Spellcaster,DARK,800,1600,4,,,
Magic Hole Golem ,0,Rare,Unlimited,Legacy Pack,,82458280,,"Once per turn, you can select 1 face-up monster you control. Its ATK is halved until the End Phase, and it can attack your opponent directly this turn. During the turn you activate this effect, only the selected monster can attack.",Monster,Effect,Rock,DARK,0,2000,3,,,
Magic Jammer ,0,Rare,Unlimited,Legacy Pack,,77414722,,"When a Spell Card is activated: Discard 1 card; negate the activation, and if you do, destroy it.",Trap,Counter,,,,,,,,
Magic Planter ,0,Rare,Unlimited,Legacy Pack,,01073952,,Send 1 face-up Continuous Trap you control to the GY; draw 2 cards.,Spell,Normal,,,,,,,,
Magic Reflector ,0,Rare,Unlimited,Legacy Pack,,61844784,,"Target 1 face-up Spell Card you control; place 1 counter on it. If it would ever be destroyed, remove the counter instead.",Spell,Normal,,,,,,,,
Magic Triangle of the Ice Barrier ,0,Rare,Unlimited,Glacial Seal; Master Pack,,64990807,,"Reveal 3 ""Ice Barrier"" monsters with different names in your hand, then target 1 card your opponent controls; destroy that target, and if you do, Special Summon 1 ""Ice Barrier"" monster from your hand.",Spell,Normal,,,,,,,,
Magidog ,0,Common,Unlimited,Knowledge of the Mythlords; Master Pack,,47929865,,"If this card is sent to the Graveyard for the Synchro Summon of a Spellcaster-Type monster, you can select and add 1 Field Spell Card from your Graveyard to your hand.",Monster,Effect,Spellcaster,LIGHT,1700,1000,4,,,
Magikey Battle ,0,Common,Unlimited,Dreaded Conspiracy; Guided by Fate; Master Pack; Wandering Travelers,,54408264,,"Target 1 Normal Monster, 1 ""Magikey"" monster, or 1 ""Magikey Maftea"" in your GY; shuffle it into the Deck, then if you activated this card in response to your opponent's card or effect activation, Normal Monsters and ""Magikey"" monsters you control (except Tokens) are unaffected by that opponent's card effect.",Spell,Quick-Play,,,,,,,,
Magikey Beast - Ansyalabolas ,0,Rare,Unlimited,Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,45655875,,"1 ""Magikey"" monster + 1 Normal Monster, except a Token
If this card is Fusion Summoned: You can add 1 ""Magikey Maftea"" from your GY to your hand. You can only use this effect of ""Magikey Beast - Ansyalabolas"" once per turn. Once per turn: You can target 1 Attack Position monster your opponent controls with the same Attribute as a Normal Monster or ""Magikey"" monster in your GY; change it to Defense Position, and if you do, it loses 1000 DEF. Banish any monster destroyed by battle with this card.",Monster,Fusion;Tuner;Effect,Beast,DARK,2200,2000,4,,,
Magikey Deity - Ashtartu ,0,Super Rare,Unlimited,Dreaded Conspiracy; Master Pack,,26988374,,"2 Level 8 monsters
Once per turn, when your Normal Monster or ""Magikey"" monster destroys an opponent's monster by battle: You can detach 1 material from this card; inflict damage to your opponent equal to the destroyed monster's original ATK. Once per turn, during your opponent's Main Phase (Quick Effect): You can target 1 monster your opponent controls with the same Attribute as a Normal Monster or ""Magikey"" monster you control or is in your GY; detach 1 material from this card, and if you do, banish that monster.",Monster,Xyz;Effect,Fairy,LIGHT,3000,3000,8,,,
Magikey Dragon - Andrabime ,0,Ultra Rare,Unlimited,Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,71159974,,"1 ""Magikey"" Effect Monster + 1 Normal Monster, except a Token
When this card is Fusion Summoned, your opponent cannot activate cards or effects. Once per turn: You can target 1 Normal Monster or ""Magikey"" monster in your GY; destroy all monsters your opponent controls with that monster's Attribute. Once per turn, if an opponent's monster with the same Attribute as a monster in your GY is destroyed by battle or card effect, if this card was Fusion Summoned using 2 different Attributes as material: You can draw 1 card.",Monster,Fusion;Effect,Dragon,WIND,2800,2000,8,,,
Magikey Duo ,0,Common,Unlimited,Dreaded Conspiracy; Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,51510279,,"You can target 1 Normal Monster or 1 ""Magikey"" monster in your GY; add it to your hand, then you can apply 1 of these effects.
●Fusion Summon 1 ""Magikey"" Fusion Monster from your Extra Deck in Defense Position, using monsters from your hand or field as Fusion Material.
●Ritual Summon 1 ""Magikey"" Ritual Monster from your hand in Defense Position, by Tributing monsters from your hand or field whose total Levels equal or exceed its Level.",Trap,Normal,,,,,,,,
Magikey Fiend - Transfurlmine ,0,Ultra Rare,Unlimited,Guided by Fate; Master Pack; Wandering Travelers,,69522668,,"1 ""Magikey"" Tuner + 1+ non-Tuner Normal Monsters
This card can make up to 2 attacks on monsters during each Battle Phase. You can only use each of the following effects of ""Magikey Fiend - Transfurlmine"" once per turn. If you control this card that was Synchro Summoned using at least 2 Attributes of monsters: You can Set 1 ""Magikey"" Spell/Trap directly from your Deck to your Spell & Trap Zone. If your opponent Normal or Special Summons a monster(s) with the same Attribute as a monster in your GY (except during the Damage Step): You can destroy that monster(s).",Monster,Synchro;Effect,Thunder,FIRE,2800,2800,8,,,
Magikey Locking ,0,Rare,Unlimited,Guided by Fate; Master Pack; Wandering Travelers,,40493210,,"Tribute 1 Normal Monster or ""Magikey"" monster (except a Token), then target up to 2 Normal Monsters and/or ""Magikey"" monsters in your GY whose total Levels equal 8 or less; Special Summon those monsters in Defense Position, then you can apply 1 of the following effects immediately after this effect resolves.
●Synchro Summon 1 ""Magikey"" Synchro Monster using monsters you control.
●Xyz Summon 1 ""Magikey"" Xyz Monster using monsters you control.",Trap,Normal,,,,,,,,
Magikey Maftea ,0,Rare,Unlimited,Dreaded Conspiracy; Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,99426088,,"Fusion Summon 1 ""Magikey"" Fusion Monster from your Extra Deck, using monsters from your hand or field as Fusion Material, OR Ritual Summon 1 ""Magikey"" Ritual Monster from your hand, by Tributing monsters from your hand or field whose total Levels equal or exceed its Level. If you control a Normal Monster, you can also send 1 Normal Monster from your Deck to the GY as material or Tribute.",Spell,Normal,,,,,,,,
Magikey Mechmortar - Garesglasser ,0,Super Rare,Unlimited,Dreaded Conspiracy; Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,45877457,,"You can Ritual Summon this card with ""Magikey Maftea"". Gains 300 ATK for each different Attribute in your GY. You can only use each of the following effects of ""Magikey Mechmortar - Garesglasser"" once per turn. When your opponent activates an effect of a monster with the same Attribute as a monster in your GY, if at least 2 Attributes of monsters were used for this card's Ritual Summon (Quick Effect): You can negate the activation, and if you do, destroy that card. If this Ritual Summoned card is sent to the GY: You can add 1 ""Magikey"" monster from your Deck to your hand.",Monster,Ritual;Effect,Machine,EARTH,2000,2800,8,,,
Magikey Mechmusket - Batosbuster ,0,Rare,Unlimited,Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,19489718,,"You can Ritual Summon this card with ""Magikey Maftea"". If this card is Ritual Summoned: You can add 1 ""Magikey"" card from your Deck to your hand. You can only use this effect of ""Magikey Mechmusket - Batosbuster"" once per turn. Once per turn, when an attack is declared involving this card and an opponent's monster that has the same Attribute as a Normal Monster or ""Magikey"" monster in your GY: You can place any number of cards from your hand on the bottom of the Deck, and if you do, negate the effects of that opponent's monster until the end of this turn, then draw the same number of cards placed under the Deck.",Monster,Ritual;Tuner;Effect,Machine,DARK,2000,2200,4,,,
Magikey Spirit - Vepartu ,0,Super Rare,Unlimited,Guided by Fate; Master Pack; Wandering Travelers,,68300121,,"2 Level 4 monsters
If this card is Xyz Summoned: You can detach 1 material from this card; add 1 Level 4 or higher Normal Monster from your Deck or GY to your hand. If this card has a Normal Monster as material, it gains this effect.
●At the start of the Damage Step, if this card battles an opponent's monster with the same Attribute as a Normal Monster or ""Magikey"" monster in your GY: You can detach 1 material from this card; your opponent must send that monster to the GY.",Monster,Xyz;Effect,Sea Serpent,WATER,2000,2000,4,,,
Magikey Unlocking ,0,Common,Unlimited,Dreaded Conspiracy; Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,98904974,,"When your opponent activates a Spell/Trap Card while you control a ""Magikey"" Ritual Monster or a ""Magikey"" monster Special Summoned from the Extra Deck: Negate the activation, and if you do, destroy that card, then you can declare 1 Attribute, and if you do that, for the rest of this turn all face-up monsters your opponent controls become that Attribute. You can only activate 1 ""Magikey Unlocking"" per turn.",Trap,Counter,,,,,,,,
Magikey World ,0,Rare,Unlimited,Guided by Fate; Master Pack; Ruler's Mask; Wandering Travelers,,35815783,,"When this card is activated: You can add 1 ""Magikey"" monster from your Deck to your hand. The first time each non-Token Normal Monster you control would be destroyed by battle or card effect each turn, it is not destroyed. During your Main Phase: You can add 1 ""Magikey Maftea"" from your Deck to your hand, then place 1 card from your hand on the bottom of the Deck. You can only use this effect of ""Magikey World"" once per turn. You can only activate 1 ""Magikey World"" per turn.",Spell,Field,,,,,,,,
Magikuriboh ,0,Super Rare,Unlimited,Master Pack,,31699677,,"During the Main or Battle Phase, if you took damage by battle or an opponent's card effect this turn (Quick Effect): You can send this card from your hand to the GY; Special Summon 1 ""Dark Magician"" or 1 ""Dark Magician Girl"" from your Deck or GY. If a face-up Spellcaster monster(s) you control is destroyed by battle or an opponent's card effect: You can add this card from the GY to your hand. You can only use each effect of ""Magikuriboh"" once per turn.",Monster,Effect,Fiend,DARK,300,200,1,,,
Maginificent Magikey Mafteal ,0,Rare,Unlimited,Guided by Fate; Master Pack; Wandering Travelers,,15983048,,"Cannot be used as material for a Synchro or Xyz Summon, except for the Synchro or Xyz Summon of a ""Magikey"" monster. If you control a ""Magikey"" monster: You can reveal this card in your hand; you can Normal Summon 1 ""Magikey"" monster during your Main Phase this turn, in addition to your Normal Summon/Set. (You can only gain this effect once per turn.) When this card is Normal Summoned: You can target 1 Level 4 or lower Normal Monster, or Level 4 or lower ""Magikey"" monster, in your GY; Special Summon it in Defense Position. You can only use this effect of ""Maginificent Magikey Mafteal"" once per turn.",Monster,Tuner;Effect,Fiend,LIGHT,1600,1600,4,,,
Magistery Alchemist ,0,Common,Unlimited,Master Pack; The First Heroes,,58270977,,"Banish 4 ""HERO"" monsters from your GY and/or face-up field, then target 1 ""HERO"" monster in your GY; Special Summon it, ignoring its Summoning conditions. If you banished EARTH, WATER, FIRE, and WIND Attributes to activate this effect, the monster's original ATK becomes doubled, also negate the effects of all face-up cards your opponent currently controls. You can only activate 1 ""Magistery Alchemist"" per turn.",Trap,Normal,,,,,,,,
Magister of Endymion ,0,Common,Unlimited,Knowledge of the Mythlords; Master Pack; Name of Champions; Stalwart Force,,66104644,,"Pendulum Effect
Each time a Spell Card is activated, place 1 Spell Counter on this card when that Spell resolves. You can remove 3 Spell Counters from this card; Special Summon both this card from your Pendulum Zone and 1 face-up monster from your Extra Deck that you can place a Spell Counter on, and if you do, place 1 Spell Counter on each.
Monster Effect
You can only Special Summon ""Magister(s) of Endymion"" once per turn. When this card declares an attack: You can place 1 Spell Counter on it. Once per opponent's turn (Quick Effect): You can remove 3 Spell Counters from your field; Special Summon 1 monster from your Deck that you can place a Spell Counter on. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone, then place the same number of Spell Counters on it that it had as a monster.",Monster,Pendulum;Effect,Spellcaster,EARTH,1500,900,3,8,,
Magistus Chorozo ,0,Ultra Rare,Unlimited,Master Pack; Metal Raiders' Dominance,,66532962,,"1 Fusion, Synchro, Xyz, or Link Monster + 1 Spellcaster monster
Must first be either Fusion Summoned, or Special Summoned (from your Extra Deck) by sending the correct Fusion Material Monster Cards you control to the GY. Once per turn, when a monster declares an attack: You can target it; negate the attack, and if you do, this card gains ATK equal to that monster's ATK (until the end of this turn), then you can return that monster to the hand.",Monster,Fusion;Tuner;Effect,Spellcaster,DARK,1000,2800,4,,,
Magistus Invocation ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,34933456,,"Fusion Summon 1 Fusion Monster from your Extra Deck, using monsters from your hand or field as material, including a Spellcaster monster. If Summoning a ""Magistus"" Fusion Monster this way, you can also use monsters in your Spell & Trap Zones that are equipped to a ""Magistus"" monster. You can only activate 1 ""Magistus Invocation"" per turn.",Spell,Normal,,,,,,,,
Magistus Theurgy ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft,,07548747,,"Target 1 ""Magistus"" monster you control; equip it with 1 ""Magistus"" monster, except a Level 4 monster, from your Extra Deck, GY, or face-up field. If you have at least 1 each ""Magistus"" Fusion, Synchro, Xyz, and Link Monsters in your GY, you can equip it with 1 non-""Magistus"" Fusion, Synchro, Xyz, or Link Monster from your Extra Deck, instead. You can only activate ""Magistus Theurgy"" once per turn.",Spell,Quick-Play,,,,,,,,
Magistus Vritra ,0,Common,Unlimited,Master Pack; Seekers of Witchcraft; Valiant Wings,,00327051,,"Target 1 Level 4 or lower ""Magistus"" monster in your GY; Special Summon it. If a ""Magistus"" card(s) in your Spell & Trap Zone would be destroyed by your opponent's card effect, you can banish this card from your GY instead. You can only use each effect of ""Magistus Vritra"" once per turn.",Spell,Normal,,,,,,,,
Magmacho Dragon ,0,Super Rare,Unlimited,Legacy Pack,,50951254,,"You can banish up to 3 FIRE monsters from your GY; this card gains 400 ATK for each, until the end of this turn. If a face-up FIRE monster(s) you control is destroyed by card effect, while this card is in your GY (except during the Damage Step): You can Special Summon this card (but banish it when it leaves the field), then draw 1 card. You can only use each effect of ""Magmacho Dragon"" once per turn.",Monster,Effect,Pyro,FIRE,1800,2200,8,,,
Magma Dragon ,0,Common,Unlimited,Dragon Spirit; Guardian of the Sacred Summit; Master Pack; Refined Blade,,95833645,,"When this card is Special Summoned: You can target 1 Wyrm-Type monster in your Graveyard, except ""Magma Dragon""; Special Summon it in Defense Position, but its effects are negated. You can only use this effect of ""Magma Dragon"" once per turn. You cannot Special Summon monsters the turn you activate this effect, except Wyrm-Type monsters.",Monster,Effect,Wyrm,FIRE,1600,1200,4,,,
Magna-Slash Dragon ,0,Common,Unlimited,Legacy Pack,,72903645,,You can send 1 face-up Continuous Spell Card you control to the Graveyard to destroy 1 Spell or Trap Card your opponent controls.,Monster,Effect,Dragon,LIGHT,2400,1200,6,,,
Magnarokket Dragon ,0,Rare,Unlimited,Aim for the Stars; Master Pack; Shot Through Fiction; Stalwart Force,,26655293,,"When a Link Monster's effect is activated that targets this face-up card on the field (Quick Effect): You can destroy this card, then send 1 monster on the field to the GY. During the End Phase, if this card is in the GY because it was destroyed on the field by battle or card effect and sent there this turn: You can Special Summon 1 ""Rokket"" monster from your Deck, except ""Magnarokket Dragon"". You can only use each effect of ""Magnarokket Dragon"" once per turn.",Monster,Effect,Dragon,DARK,1800,1200,4,,,
Magna Drago ,0,Common,Unlimited,Legacy Pack,,36750412,,If this card inflicts battle damage to your opponent: It gains 200 ATK.,Monster,Tuner;Effect,Dragon,FIRE,1400,600,2,,,
Magnetic Field ,0,Rare,Unlimited,Master Pack; Scientific Analysis,,04740489,,"If you control a Level 4 or lower EARTH Rock monster: You can target 1 Level 4 or lower ""Magnet Warrior"" monster in your GY; Special Summon it. You can only use this effect of ""Magnetic Field"" once per turn. Once per turn, at the end of the Damage Step, when an EARTH Rock monster you control battled an opponent's monster, but the opponent's monster was not destroyed by the battle: You can return that opponent's monster to the hand.",Spell,Field,,,,,,,,
Magnetic Mosquito ,0,Common,Unlimited,Legacy Pack,,50074522,,FLIP: Destroy all Machine monsters on the field.,Monster,Flip;Effect,Insect,LIGHT,300,1000,3,,,
Magnet Circle LV2 ,0,Common,Unlimited,Legacy Pack,,94940436,,Special Summon 1 Level 2 or lower Machine-Type monster from your hand.,Spell,Normal,,,,,,,,
Magnet Conversion ,0,Common,Unlimited,Master Pack; Scientific Analysis,,77133792,,"Target up to 3 Level 4 or lower ""Magnet Warrior"" monsters in your GY; add them to your hand. During either player's turn, except the turn this card was sent to the GY: You can banish this card from your GY, then target 1 of your banished Level 4 or lower ""Magnet Warrior"" monsters; Special Summon it.",Trap,Normal,,,,,,,,
Magnet Force ,0,Rare,Unlimited,Master Pack; Metal Raiders' Dominance; Scientific Analysis; Sky Striker Awakening,,17841166,,"This turn, all monsters on the field whose original Types are Machine or Rock, are unaffected by your opponent's monster effects (except their own).",Trap,Normal,,,,,,,,
Magnet Induction ,0,Super Rare,Unlimited,Master Pack; Scientific Analysis,,54734082,,"If you control a ""Magnet Warrior"" monster whose original Level is 4 or lower: Special Summon 1 Level 4 or lower ""Magnet Warrior"" monster from your Deck with a different name than the cards you control, also for the rest of this turn after this card resolves, ""Magnet Warrior"" and ""Magna Warrior"" monsters you control cannot be destroyed by battle or your opponent's card effects. You can only activate 1 ""Magnet Induction"" per turn.",Spell,Normal,,,,,,,,
Magnet Reverse ,0,Rare,Unlimited,Master Pack; Metal Raiders' Dominance; Scientific Analysis; Sky Striker Awakening; The Perpetual Maze,,80352158,,"Target 1 of your Machine or Rock monsters, that is banished or is in your GY, that cannot be Normal Summoned/Set; Special Summon it.",Spell,Quick-Play,,,,,,,,
Magnificent Machine Angel ,0,Common,Unlimited,Galactic Evolution; Master Pack; Souls of Sublime Gods,,27331568,,"Tribute 1 ""Cyber Angel"" Ritual Monster from your hand or field, then target 1 LIGHT Fairy monster you control; it gains ATK/DEF equal to the Level the monster had when Tributed x 200, until the end of this turn. This turn, if it battles an opponent's monster that was Special Summoned from the Extra Deck, that opponent's monster's effects are negated during that Battle Phase only. You can only activate 1 ""Magnificent Machine Angel"" per turn.",Spell,Quick-Play,,,,,,,,
Magnum Shield ,0,Rare,Unlimited,Master Pack,,84877802,,"Equip only to a Warrior-Type monster. Apply this effect, depending on its battle position.
●Attack Position: It gains ATK equal to its original DEF.
●Defense Position: It gains DEF equal to its original ATK.",Spell,Equip,,,,,,,,
Magnum the Reliever ,0,Rare,Unlimited,Blazing Arena; Forgotten Underworld; Illusion Beast's Roar; Master Pack; The Forbidden Liberated,,00043227,,"1 monster Special Summoned from the Extra Deck + 1 monster in the hand
You can target 1 ""Polymerization"" Spell or ""Fusion"" Spell in your GY; place that card on the bottom of the Deck, then draw 1 card. When another card, or its effect, is activated (Quick Effect): You can banish 1 ""Polymerization"" Spell or ""Fusion"" Spell from your GY, then target 1 card on the field; destroy it. You can only use each effect of ""Magnum the Reliever"" once per turn.",Monster,Fusion;Effect,Fiend,LIGHT,2800,2000,8,,,
Mahaama the Fairy Dragon ,0,Super Rare,Unlimited,Beyond Speed; Master Pack,,00545781,,"During your opponent's turn, when either player takes battle damage: You can Special Summon this card from your hand, then apply 1 of these effects.
●Gain LP equal to that battle damage.
●Inflict damage to your opponent equal to that battle damage.",Monster,Tuner;Effect,Dragon,LIGHT,0,2500,5,,,
Maharaghi ,0,Common,Unlimited,Legacy Pack,,40695128,,"This card cannot be Special Summoned. This card returns to the owner's hand during the End Phase of the turn that this card is Normal Summoned or flipped face-up. If this card is Normal Summoned or flipped face-up, look at 1 card on the top of your Deck during your next Draw Phase (before you draw), and return the card to the top or the bottom of your Deck.",Monster,Spirit;Effect,Rock,EARTH,1200,1700,4,,,
"Maha Vailo, Light of the Heavens ",0,Super Rare,Unlimited,Legacy Pack,,45796834,,"This card gains the following effect(s), based on the number of Equip Cards equipped to it.
●1+: Gains 1000 ATK for each Equip Card equipped to it.
●2+: Your opponent cannot activate monster effects during the Battle Phase.
●3+: When your opponent's card or effect is activated that targets this card (Quick Effect): You can send 1 Equip Card you control to the GY; negate that effect.
●4+: Your opponent cannot activate cards or effects during the Battle Phase.
●5+: Any battle damage this card inflicts to your opponent is doubled.",Monster,Effect,Spellcaster,LIGHT,1550,1400,8,,,
Maha Vailo ,0,Rare,Unlimited,Legacy Pack,,93013676,,Gains 500 ATK for each Equip Card equipped to this card.,Monster,Effect,Spellcaster,LIGHT,1550,1400,4,,,
Mahjong Munia Maidens ,0,Rare,Unlimited,Legacy Pack,,53620899,,"FLIP: You can draw 1 card, then discard 1 card.
Once per turn: You can change this card to face-down Defense Position.",Monster,Flip;Effect,Winged Beast,WIND,200,2000,2,,,
Mahunder ,0,Rare,Unlimited,Legacy Pack,,21524779,,"Once per turn: You can Normal Summon 1 Level 4 LIGHT Thunder-Type monster from your hand, except ""Mahunder"", as an additional Normal Summon.",Monster,Effect,Thunder,LIGHT,1400,700,4,,,
